name,CMC,Type,Color,Set,Collector Number,Rarity,Color Category,status,Finish,maybeboard,image URL,image Back URL,tags,Notes,MTGO ID,Custom
"Stonybrook Schoolmaster",3,"Creature - Merfolk Wizard",W,"mor","25",common,null,Owned,Non-foil,false,,,"","",29190,false
"Ballynock Trapper",4,"Creature - Kithkin Soldier",W,"eve","2",common,null,Owned,Non-foil,false,,,"","",30134,false
"Changeling Sentinel",4,"Creature - Shapeshifter",W,"mor","6",common,null,Owned,Non-foil,false,,,"","",28986,false
"Galepowder Mage",4,"Creature - Kithkin Wizard",W,"lrw","15",rare,null,Owned,Non-foil,false,,,"","",28353,false
"Indomitable Ancients",4,"Creature - Treefolk Warrior",W,"mor","13",rare,null,Owned,Non-foil,false,,,"","",29138,false
"Kinsbaile Cavalier",4,"Creature - Kithkin Knight",W,"mor","15",rare,null,Owned,Non-foil,false,,,"","",29196,false
"Kithkin Rabble",4,"Creature - Kithkin",W,"shm","9",uncommon,null,Owned,Non-foil,false,,,"","",29797,false
"Meadowboon",4,"Creature - Elemental",W,"mor","17",uncommon,null,Owned,Non-foil,false,,,"","",29240,false
"Oaken Brawler",4,"Creature - Treefolk Warrior",W,"lrw","33",common,null,Owned,Non-foil,false,,,"","",28675,false
"Rune-Cervin Rider",4,"Creature - Elf Knight",W,"shm","20",common,White,Owned,Non-foil,false,,,"","",29351,false
"Springjack Shepherd",4,"Creature - Kithkin Wizard",W,"eve","15",uncommon,null,Owned,Non-foil,false,,,"","",30064,false
"Thoughtweft Trio",4,"Creature - Kithkin Soldier",W,"lrw","44",rare,null,Owned,Non-foil,false,,,"","",28477,false
"Archon of Justice",5,"Creature - Archon",W,"eve","1",rare,null,Owned,Non-foil,false,,,"remove","",29940,false
"Barrenton Medic",5,"Creature - Kithkin Cleric",W,"shm","4",common,null,Owned,Non-foil,false,,,"","",29301,false
"Changeling Hero",5,"Creature - Shapeshifter",W,"lrw","9",uncommon,null,Owned,Non-foil,false,,,"","",28221,false
"Cloudgoat Ranger",5,"Creature - Giant Warrior Ranger",W,"lrw","10",uncommon,null,Owned,Non-foil,false,,,"","",28349,false
"Reveillark",5,"Creature - Elemental",W,"mor","22",rare,null,Owned,Non-foil,false,,,"","",29048,false
"Sentry Oak",5,"Creature - Treefolk Warrior",W,"lrw","38",uncommon,null,Owned,Non-foil,false,,,"","",28657,false
"Twilight Shepherd",6,"Creature - Angel",W,"shm","25",rare,null,Owned,Non-foil,false,,,"","",29595,false
"Woeleecher",6,"Creature - Elemental",W,"shm","27",common,null,Owned,Non-foil,false,,,"","",29669,false
"Arbiter of Knollridge",7,"Creature - Giant Wizard",W,"lrw","2",rare,null,Owned,Non-foil,false,,,"","",28447,false
"Ajani Goldmane",4,"Legendary Planeswalker - Ajani",W,"lrw","1",rare,null,Owned,Non-foil,false,,,"","",28479,false
"Coordinated Barrage",1,"Instant",W,"mor","7",common,null,Owned,Non-foil,false,,,"","",29180,false
"Niveous Wisps",1,"Instant",W,"shm","15",common,null,Owned,Non-foil,false,,,"","",29795,false
"Shields of Velis Vel",1,"Kindred Instant - Shapeshifter",W,"lrw","39",common,null,Owned,Non-foil,false,,,"","",28227,false
"Graceful Reprieve",2,"Instant",W,"mor","11",uncommon,null,Owned,Non-foil,false,,,"","",29176,false
"Last Breath",2,"Instant",W,"shm","11",common,null,Owned,Non-foil,false,,,"","",29559,false
"Crib Swap",3,"Kindred Instant - Shapeshifter",W,"lrw","11",uncommon,null,Owned,Non-foil,false,,,"multiples","",28561,false
"Neck Snap",4,"Instant",W,"lrw","32",common,null,Owned,Non-foil,false,,,"","",28387,false
"Swell of Courage",5,"Instant",W,"mor","26",uncommon,null,Owned,Non-foil,false,,,"","",29080,false
"Mine Excavation",2,"Sorcery",W,"shm","13",common,null,Owned,Non-foil,false,,,"","",29815,false
"Spectral Procession",3,"Sorcery",W,"shm","23",uncommon,null,Owned,Non-foil,false,,,"","",29605,false
"Cenn's Enlistment",4,"Sorcery",W,"eve","3",common,null,Owned,Non-foil,false,,,"","",30118,false
"Summon the School",4,"Kindred Sorcery - Merfolk",W,"lrw","42",uncommon,null,Owned,Non-foil,false,,,"","",28765,false
"Hallowed Burial",5,"Sorcery",W,"eve","7",rare,null,Owned,Non-foil,false,,,"","",30182,false
"Austere Command",6,"Sorcery",W,"lrw","3",rare,null,Owned,Non-foil,false,,,"","",28495,false
"Mass Calcify",7,"Sorcery",W,"shm","12",rare,null,Owned,Non-foil,false,,,"","",29447,false
"Favor of the Mighty",2,"Kindred Enchantment - Giant",W,"lrw","14",rare,null,Owned,Non-foil,false,,,"","",28613,false
"Hoofprints of the Stag",2,"Kindred Enchantment - Elemental",W,"lrw","21",rare,null,Owned,Non-foil,false,,,"","",28617,false
"Militia's Pride",2,"Kindred Enchantment - Kithkin",W,"lrw","30",rare,null,Owned,Non-foil,false,,,"","",28449,false
"Triclopean Sight",2,"Enchantment - Aura",W,"lrw","45",common,null,Owned,Non-foil,false,,,"","",28735,false
"Weight of Conscience",2,"Enchantment - Aura",W,"mor","28",common,null,Owned,Non-foil,false,,,"","",29086,false
"Oblivion Ring",3,"Enchantment",W,"lrw","34",common,null,Owned,Non-foil,false,,,"","",28229,false
"Prison Term",3,"Enchantment - Aura",W,"shm","18",uncommon,null,Owned,Non-foil,false,,,"","",29411,false
"Recumbent Bliss",3,"Enchantment - Aura",W,"eve","13",common,null,Owned,Non-foil,false,,,"","",30100,false
"Armored Ascension",4,"Enchantment - Aura",W,"shm","2",uncommon,null,Owned,Non-foil,false,,,"","",29439,false
"Endless Horizons",4,"Enchantment",W,"eve","4",rare,null,Owned,Non-foil,false,,,"","",30222,false
"Boon Reflection",5,"Enchantment",W,"shm","5",rare,null,Owned,Non-foil,false,,,"","",29499,false
"Rustic Clachan",0,"Land",,"mor","150",rare,White,Owned,Non-foil,false,,,"","",29206,false
"Vivid Meadow",0,"Land",,"lrw","279",uncommon,White,Owned,Non-foil,false,,,"","",28523,false
"Vivid Meadow",0,"Land",,"lrw","279",uncommon,White,Owned,Non-foil,false,,,"","",28523,false
"Vivid Meadow",0,"Land",,"lrw","279",uncommon,White,Owned,Non-foil,false,,,"","",28523,false
"Vivid Meadow",0,"Land",W,"lrw","279",uncommon,White,Owned,Non-foil,false,,,"","",28523,false
"Vivid Meadow",0,"Land",W,"lrw","279",uncommon,White,Owned,Non-foil,false,,,"","",28523,false
"Vivid Meadow",0,"Land",W,"lrw","279",uncommon,White,Owned,Non-foil,false,,,"","",28523,false
"Vivid Meadow",0,"Land",W,"lrw","279",uncommon,White,Owned,Non-foil,false,,,"","",28523,false
"Cursecatcher",1,"Creature - Merfolk Wizard",U,"shm","34",uncommon,null,Owned,Non-foil,false,,,"","",29829,false
"Drowner Initiate",1,"Creature - Merfolk Wizard",U,"shm","36",common,null,Owned,Non-foil,false,,,"","",29353,false
"Merrow Witsniper",1,"Creature - Merfolk Rogue",U,"mor","40",common,null,Owned,Non-foil,false,,,"","",29062,false
"Mothdust Changeling",1,"Creature - Shapeshifter",U,"mor","42",common,null,Owned,Non-foil,false,,,"","",28990,false
"Amoeboid Changeling",2,"Creature - Shapeshifter",U,"lrw","51",common,null,Owned,Non-foil,false,,,"","",28485,false
"Briarberry Cohort",2,"Creature - Faerie Soldier",U,"shm","30",common,null,Owned,Non-foil,false,,,"","",29441,false
"Shapesharer",2,"Creature - Shapeshifter",U,"lrw","85",rare,null,Owned,Non-foil,false,,,"","",28451,false
"Silvergill Douser",2,"Creature - Merfolk Wizard",U,"lrw","87",common,null,Owned,Non-foil,false,,,"","",28763,false
"Spellstutter Sprite",2,"Creature - Faerie Wizard",U,"lrw","89",common,null,Owned,Non-foil,false,,,"","",28243,false
"Stonybrook Banneret",2,"Creature - Merfolk Wizard",U,"mor","51",common,null,Owned,Non-foil,false,,,"","",29044,false
"Aethersnipe",3,"Creature - Elemental",U,"lrw","50",common,null,Owned,Non-foil,false,,,"","",28719,false
"Dewdrop Spy",3,"Creature - Faerie Rogue",U,"mor","30",common,null,Owned,Non-foil,false,,,"","",29092,false
"Dream Thief",3,"Creature - Faerie Rogue",U,"eve","20",common,null,Owned,Non-foil,false,,,"","",30168,false
"Drowner of Secrets",3,"Creature - Merfolk Wizard",U,"lrw","58",uncommon,null,Owned,Non-foil,false,,,"","",28667,false
"Leech Bonder",3,"Creature - Merfolk Soldier",U,"shm","43",uncommon,null,Owned,Non-foil,false,,,"","",29543,false
"Merrow Reejerey",3,"Creature - Merfolk Soldier",U,"lrw","74",uncommon,null,Owned,Non-foil,false,,,"","",28393,false
"Parapet Watchers",3,"Creature - Kithkin Soldier",U,"shm","45",common,Blue,Owned,Non-foil,false,,,"","",29593,false
"Pestermite",3,"Creature - Faerie Rogue",U,"lrw","78",common,null,Owned,Non-foil,false,,,"","",28241,false
"Sage of Fables",3,"Creature - Merfolk Wizard",U,"mor","47",uncommon,null,Owned,Non-foil,false,,,"","",29110,false
"Sigil Tracer",3,"Creature - Merfolk Wizard",U,"mor","49",rare,null,Owned,Non-foil,false,,,"","",28964,false
"Vendilion Clique",3,"Legendary Creature - Faerie Wizard",U,"mor","55",rare,null,Owned,Non-foil,false,,,"","",28946,false
"Wake Thrasher",3,"Creature - Merfolk Soldier",U,"eve","31",rare,null,Owned,Non-foil,false,,,"","",30196,false
"Faerie Harbinger",4,"Creature - Faerie Wizard",U,"lrw","61",uncommon,null,Owned,Non-foil,false,,,"","",28239,false
"Glen Elendra Archmage",4,"Creature - Faerie Wizard",U,"eve","22",rare,null,Owned,Non-foil,false,,,"","",30226,false
"Glen Elendra Pranksters",4,"Creature - Faerie Wizard",U,"lrw","67",uncommon,null,Owned,Non-foil,false,,,"","",28187,false
"Inspired Sprite",4,"Creature - Faerie Wizard",U,"mor","37",uncommon,null,Owned,Non-foil,false,,,"","",28956,false
"Kinscaer Harpoonist",4,"Creature - Kithkin Soldier",U,"shm","41",common,null,Owned,Non-foil,false,,,"remove","",29723,false
"Knacksaw Clique",4,"Creature - Faerie Rogue",U,"shm","42",rare,null,Owned,Non-foil,false,,,"","",29435,false
"Latchkey Faerie",4,"Creature - Faerie Rogue",U,"mor","39",common,null,Owned,Non-foil,false,,,"","",28976,false
"Merrow Levitator",4,"Creature - Merfolk Wizard",U,"eve","26",common,null,Owned,Non-foil,false,,,"remove","",29968,false
"Mistbind Clique",4,"Creature - Faerie Wizard",U,"lrw","75",rare,null,Owned,Non-foil,false,,,"","",28503,false
"Mulldrifter",5,"Creature - Elemental",U,"lrw","76",common,null,Owned,Non-foil,false,,,"","",28245,false
"River Kelpie",5,"Creature - Beast",U,"shm","49",rare,null,Owned,Non-foil,false,,,"","",29469,false
"Isleback Spawn",7,"Creature - Kraken",U,"shm","40",rare,null,Owned,Non-foil,false,,,"remove","",29519,false
"Jace Beleren",3,"Legendary Planeswalker - Jace",U,"lrw","71",rare,null,Owned,Non-foil,false,,,"","",28469,false
"Banishing Knack",1,"Instant",U,"eve","17",common,null,Owned,Non-foil,false,,,"","",30154,false
"Broken Ambitions",1,"Instant",U,"lrw","54",common,null,Owned,Non-foil,false,,,"","",28677,false
"Cerulean Wisps",1,"Instant",U,"shm","31",common,null,Owned,Non-foil,false,,,"","",29775,false
"Stream of Unconsciousness",1,"Kindred Instant - Wizard",U,"mor","52",common,null,Owned,Non-foil,false,,,"","",29072,false
"Disperse",2,"Instant",U,"mor","31",common,null,Owned,Non-foil,false,,,"","",29076,false
"Familiar's Ruse",2,"Instant",U,"lrw","64",uncommon,null,Owned,Non-foil,false,,,"","",28741,false
"Negate",2,"Instant",U,"mor","43",common,null,Owned,Non-foil,false,,,"","",29010,false
"Spell Syphon",2,"Instant",U,"shm","52",common,null,Owned,Non-foil,false,,,"","",29679,false
"Whirlpool Whelm",2,"Instant",U,"lrw","96",common,null,Owned,Non-foil,false,,,"","",28665,false
"Consign to Dream",3,"Instant",U,"shm","32",common,null,Owned,Non-foil,false,,,"","",29377,false
"Dream Fracture",3,"Instant",U,"eve","19",uncommon,null,Owned,Non-foil,false,,,"","",30066,false
"Ego Erasure",3,"Kindred Instant - Shapeshifter",U,"lrw","59",uncommon,null,Owned,Non-foil,false,,,"","",28385,false
"Faerie Trickery",3,"Kindred Instant - Faerie",U,"lrw","62",common,null,Owned,Non-foil,false,,,"","",28249,false
"Oona's Grace",3,"Instant",U,"eve","27",common,null,Owned,Foil,false,,,"","",30126,false
"Sage's Dousing",3,"Kindred Instant - Wizard",U,"mor","48",uncommon,null,Owned,Non-foil,false,,,"","",29148,false
"Thieves' Fortune",3,"Kindred Instant - Rogue",U,"mor","54",uncommon,null,Owned,Non-foil,false,,,"","",29090,false
"Cryptic Command",4,"Instant",U,"lrw","56",rare,null,Owned,Non-foil,false,,,"","",28499,false
"Put Away",4,"Instant",U,"shm","48",common,null,Owned,Non-foil,false,,,"","",29857,false
"Scattering Stroke",4,"Instant",U,"lrw","82",uncommon,null,Owned,Non-foil,false,,,"","",28357,false
"Ponder",1,"Sorcery",U,"lrw","79",common,null,Owned,Non-foil,false,,,"","",28339,false
"Mind Spring",2,"Sorcery",U,"mor","41",rare,null,Owned,Non-foil,false,,,"","",29034,false
"Ghastly Discovery",3,"Sorcery",U,"shm","39",common,null,Owned,Non-foil,false,,,"","",29773,false
"Savor the Moment",3,"Sorcery",U,"shm","50",rare,null,Owned,Non-foil,false,,,"","",29865,false
"Distant Melody",4,"Sorcery",U,"mor","32",common,null,Owned,Non-foil,false,,,"","",29172,false
"Fathom Trawl",5,"Sorcery",U,"lrw","65",rare,null,Owned,Non-foil,false,,,"","",28697,false
"Advice from the Fae",6,"Sorcery",U,"shm","28",uncommon,null,Owned,Non-foil,false,,,"","",29703,false
"Sinking Feeling",3,"Enchantment - Aura",U,"shm","51",common,null,Owned,Non-foil,false,,,"","",29823,false
"Puca's Mischief",4,"Enchantment",U,"shm","47",rare,null,Owned,Non-foil,false,,,"","",29343,false
"Biting Tether",5,"Enchantment - Aura",U,"shm","29",uncommon,null,Owned,Non-foil,false,,,"","",29303,false
"Thought Reflection",7,"Enchantment",U,"shm","53",rare,null,Owned,Non-foil,false,,,"","",29477,false
"Vivid Creek",0,"Land",,"c15","317",uncommon,Blue,Owned,Non-foil,false,,,"","",-1,false
"Vivid Creek",0,"Land",,"lrw","276",uncommon,Blue,Owned,Non-foil,false,,,"","",28519,false
"Vivid Creek",0,"Land",,"lrw","276",uncommon,Blue,Owned,Non-foil,false,,,"","",28519,false
"Vivid Creek",0,"Land",U,"lrw","276",uncommon,Blue,Owned,Non-foil,false,,,"","",28519,false
"Vivid Creek",0,"Land",U,"lrw","276",uncommon,Blue,Owned,Non-foil,false,,,"","",28519,false
"Vivid Creek",0,"Land",U,"lrw","276",uncommon,Blue,Owned,Non-foil,false,,,"","",28519,false
"Vivid Creek",0,"Land",U,"lrw","276",uncommon,Blue,Owned,Non-foil,false,,,"","",28519,false
"Facevaulter",1,"Creature - Goblin Warrior",B,"lrw","111",common,null,Owned,Non-foil,false,,,"","",28541,false
"Gnarlroot Trapper",1,"Creature - Elf Druid",B,"ori","100",uncommon,null,Owned,Non-foil,false,,,"","",57936,false
"Knucklebone Witch",1,"Creature - Goblin Shaman",B,"lrw","120",rare,null,Owned,Non-foil,false,,,"","",28573,false
"Merrow Bonegnawer",1,"Creature - Merfolk Rogue",B,"eve","37",common,null,Owned,Non-foil,false,,,"","",30024,false
"Nightshade Stinger",1,"Creature - Faerie Rogue",B,"lrw","132",common,null,Owned,Non-foil,false,,,"","",28273,false
"Prickly Boggart",1,"Creature - Goblin Rogue",B,"mor","74",common,null,Owned,Non-foil,false,,,"","",29070,false
"Thornbow Archer",1,"Creature - Elf Archer",B,"ori","121",common,null,Owned,Non-foil,false,,,"","",57944,false
"Blightsoil Druid",2,"Creature - Elf Druid",B,"mor","59",common,Black,Owned,Non-foil,false,,,"","",29066,false
"Exiled Boggart",2,"Creature - Goblin Rogue",B,"lrw","109",common,null,Owned,Non-foil,false,,,"","",28725,false
"Festercreep",2,"Creature - Elemental",B,"mor","62",common,null,Owned,Non-foil,false,,,"","",29134,false
"Frogtosser Banneret",2,"Creature - Goblin Rogue",B,"mor","64",common,null,Owned,Non-foil,false,,,"","",29020,false
"Oona's Blackguard",2,"Creature - Faerie Rogue",B,"mor","72",uncommon,null,Ordered,Non-foil,false,,,"","",29162,false
"Oona's Prowler",2,"Creature - Faerie Rogue",B,"lrw","133",rare,null,Owned,Non-foil,false,,,"","",28739,false
"Scarred Vinebreeder",2,"Creature - Elf Shaman",B,"lrw","138",common,null,Owned,Non-foil,false,,,"","",28363,false
"Shriekmaw",2,"Creature - Elemental",B,"lrw","139",uncommon,null,Owned,Non-foil,false,,,"","",28647,false
"Sickle Ripper",2,"Creature - Elemental Warrior",B,"shm","77",common,null,Owned,Non-foil,false,,,"","",29685,false
"Skeletal Changeling",2,"Creature - Shapeshifter",B,"lrw","140",common,null,Owned,Non-foil,false,,,"","",28635,false
"Weirding Shaman",2,"Creature - Goblin Shaman",B,"mor","84",rare,null,Owned,Non-foil,false,,,"","",29158,false
"Black Poplar Shaman",3,"Creature - Treefolk Shaman",B,"lrw","99",common,null,Owned,Non-foil,false,,,"watch","",28271,false
"Cinderbones",3,"Creature - Elemental Skeleton",B,"shm","59",common,null,Owned,Non-foil,false,,,"","",29395,false
"Corrosive Mentor",3,"Creature - Elemental Rogue",B,"shm","61",uncommon,null,Owned,Non-foil,false,,,"","",29379,false
"Dusk Urchins",3,"Creature - Ouphe",B,"shm","65",rare,null,Owned,Non-foil,false,,,"","",29413,false
"Ghostly Changeling",3,"Creature - Shapeshifter",B,"lrw","116",uncommon,null,Owned,Non-foil,false,,,"","",28259,false
"Mad Auntie",3,"Creature - Goblin Shaman",B,"lrw","123",rare,null,Owned,Non-foil,false,,,"","",28189,false
"Maralen of the Mornsong",3,"Legendary Creature - Elf Wizard",B,"mor","65",rare,null,Owned,Non-foil,false,,,"","",28998,false
"Moonglove Changeling",3,"Creature - Shapeshifter",B,"mor","67",common,null,Owned,Non-foil,false,,,"","",28984,false
"Needle Specter",3,"Creature - Specter",B,"eve","39",rare,null,Owned,Non-foil,false,,,"","",30124,false
"Offalsnout",3,"Creature - Elemental",B,"mor","71",uncommon,null,Owned,Non-foil,false,,,"","",29012,false
"Thieving Sprite",3,"Creature - Faerie Rogue",B,"lrw","143",common,null,Owned,Non-foil,false,,,"","",28267,false
"Boggart Mob",4,"Creature - Goblin Warrior",B,"lrw","104",rare,null,Owned,Non-foil,false,,,"","",28475,false
"Dreamspoiler Witches",4,"Creature - Faerie Wizard",B,"lrw","108",common,null,Owned,Non-foil,false,,,"","",28655,false
"Final-Sting Faerie",4,"Creature - Faerie Assassin",B,"mor","63",common,null,Owned,Non-foil,false,,,"","",29036,false
"Hornet Harasser",4,"Creature - Goblin Shaman",B,"lrw","118",common,null,Owned,Non-foil,false,,,"","",28529,false
"Marsh Flitter",4,"Creature - Faerie Rogue",B,"lrw","125",uncommon,null,Owned,Non-foil,false,,,"","",28397,false
"Smoldering Butcher",4,"Creature - Elemental Warrior",B,"eve","42",common,null,Owned,Non-foil,false,,,"","",30172,false
"Soul Snuffers",4,"Creature - Elemental Shaman",B,"eve","45",uncommon,null,Owned,Non-foil,false,,,"","",29938,false
"Squeaking Pie Grubfellows",4,"Creature - Goblin Shaman",B,"mor","78",common,null,Owned,Non-foil,false,,,"","",29104,false
"Stenchskipper",4,"Creature - Elemental",B,"mor","79",rare,null,Owned,Non-foil,false,,,"","",29170,false
"Cairn Wanderer",5,"Creature - Shapeshifter",B,"lrw","105",rare,null,Owned,Non-foil,false,,,"","",28435,false
"Cinderhaze Wretch",5,"Creature - Elemental Shaman",B,"shm","60",common,null,Owned,Non-foil,false,,,"remove","",29299,false
"Fendeep Summoner",5,"Creature - Treefolk Shaman",B,"mor","61",rare,null,Owned,Non-foil,false,,,"","",29024,false
"Hunter of Eyeblights",5,"Creature - Elf Assassin",B,"lrw","119",uncommon,null,Owned,Non-foil,false,,,"","",28411,false
"Nightshade Schemers",5,"Creature - Faerie Wizard",B,"mor","69",uncommon,null,Owned,Non-foil,false,,,"","",29154,false
"Puppeteer Clique",5,"Creature - Faerie Wizard",B,"shm","75",rare,null,Owned,Non-foil,false,,,"","",29507,false
"Warren Pilferers",5,"Creature - Goblin Rogue",B,"lrw","146",common,null,Owned,Non-foil,false,,,"","",28653,false
"Weed-Pruner Poplar",5,"Creature - Treefolk Assassin",B,"mor","83",common,null,Owned,Non-foil,false,,,"","",29088,false
"Midnight Banshee",6,"Creature - Spirit",B,"shm","72",rare,null,Owned,Non-foil,false,,,"","",29569,false
"Thorntooth Witch",6,"Creature - Treefolk Shaman",B,"lrw","144",uncommon,null,Owned,Non-foil,false,,,"","",28549,false
"Liliana Vess",5,"Legendary Planeswalker - Liliana",B,"m10","102",mythic,null,Owned,Non-foil,false,,,"","",32669,false
"Aphotic Wisps",1,"Instant",B,"shm","55",common,null,Owned,Non-foil,false,,,"","",29687,false
"Peppersmoke",1,"Kindred Instant - Faerie",B,"lrw","134",common,null,Owned,Non-foil,false,,,"","",28275,false
"Touch of Moonglove",1,"Instant",B,"ori","123",common,null,Owned,Non-foil,false,,,"","",57956,false
"Nameless Inversion",2,"Kindred Instant - Shapeshifter",B,"lrw","128",common,null,Owned,Non-foil,false,,,"multiples","",28569,false
"Pack's Disdain",2,"Instant",B,"mor","73",common,null,Owned,Non-foil,false,,,"","",29188,false
"Eyeblight's Ending",3,"Kindred Instant - Elf",B,"lrw","110",common,null,Owned,Non-foil,false,,,"","",28261,false
"Footbottom Feast",3,"Instant",B,"lrw","115",common,null,Owned,Non-foil,false,,,"","",28253,false
"Makeshift Mannequin",4,"Instant",B,"lrw","124",uncommon,null,Owned,Non-foil,false,,,"","",28361,false
"Violet Pall",5,"Kindred Instant - Faerie",B,"mor","81",common,null,Owned,Non-foil,false,,,"","",29234,false
"Raven's Crime",1,"Sorcery",B,"eve","41",common,null,Owned,Non-foil,false,,,"","",30140,false
"Thoughtseize",1,"Sorcery",B,"lrw","145",rare,null,Owned,Non-foil,false,,,"","",28269,false
"Disturbing Plot",2,"Sorcery",B,"shm","64",common,null,Owned,Non-foil,false,,,"","",29787,false
"Persist",2,"Sorcery",B,"mh2","96",rare,null,Owned,Non-foil,false,,,"","",90565,false
"Profane Command",2,"Sorcery",B,"lrw","135",rare,null,Owned,Non-foil,false,,,"","",28493,false
"Rite of Consumption",2,"Sorcery",B,"shm","76",common,null,Owned,Non-foil,false,,,"","",29861,false
"Soul Reap",2,"Sorcery",B,"eve","44",common,null,Owned,Non-foil,false,,,"","",30014,false
"Warren Weirding",2,"Kindred Sorcery - Goblin",B,"mor","82",uncommon,null,Owned,Non-foil,false,,,"","",29082,false
"Splitting Headache",4,"Sorcery",B,"shm","79",common,null,Owned,Non-foil,false,,,"","",29527,false
"Final Revels",5,"Sorcery",B,"lrw","113",uncommon,null,Owned,Non-foil,false,,,"","",28699,false
"Incremental Blight",5,"Sorcery",B,"shm","70",uncommon,null,Owned,Non-foil,false,,,"","",29571,false
"Corrupt",6,"Sorcery",B,"shm","62",uncommon,null,Owned,Non-foil,false,,,"remove","",29419,false
"Torture",1,"Enchantment - Aura",B,"shm","80",common,null,Owned,Non-foil,false,,,"","",29409,false
"Crumbling Ashes",2,"Enchantment",B,"eve","35",uncommon,null,Owned,Non-foil,false,,,"","",30234,false
"Prowess of the Fair",2,"Kindred Enchantment - Elf",B,"lrw","136",uncommon,null,Owned,Non-foil,false,,,"","",28785,false
"Blowfly Infestation",3,"Enchantment",B,"shm","58",uncommon,null,Owned,Non-foil,false,,,"","",29295,false
"Wound Reflection",6,"Enchantment",B,"shm","81",rare,null,Owned,Non-foil,false,,,"","",29509,false
"Vivid Marsh",0,"Land",,"lrw","278",uncommon,Black,Owned,Non-foil,false,,,"","",28517,false
"Vivid Marsh",0,"Land",,"lrw","278",uncommon,Black,Owned,Non-foil,false,,,"","",28517,false
"Vivid Marsh",0,"Land",,"lrw","278",uncommon,Black,Owned,Non-foil,false,,,"","",28517,false
"Vivid Marsh",0,"Land",B,"lrw","278",uncommon,Black,Owned,Non-foil,false,,,"","",28517,false
"Vivid Marsh",0,"Land",B,"lrw","278",uncommon,Black,Owned,Non-foil,false,,,"","",28517,false
"Vivid Marsh",0,"Land",B,"lrw","278",uncommon,Black,Owned,Non-foil,false,,,"","",28517,false
